service_id,date,exception_type
TWR.Rinkai/Weekday,20191213,1
TWR.Rinkai/SaturdayHoliday,20191214,1
TWR.Rinkai/Weekday,20191216,1
TWR.Rinkai/Weekday,20191217,1
TWR.Rinkai/Weekday,20191218,1
TWR.Rinkai/Weekday,20191219,1
TWR.Rinkai/Weekday,20191220,1
TWR.Rinkai/SaturdayHoliday,20191221,1
TWR.Rinkai/Weekday,20191223,1
TWR.Rinkai/Weekday,20191224,1
TWR.Rinkai/Weekday,20191225,1
TWR.Rinkai/Weekday,20191226,1
TWR.Rinkai/Weekday,20191227,1
TWR.Rinkai/SaturdayHoliday,20191228,1
TWR.Rinkai/Weekday,20191230,1
TWR.Rinkai/Weekday,20191231,1
TWR.Rinkai/Weekday,20200101,1
TWR.Rinkai/Weekday,20200102,1
TWR.Rinkai/Weekday,20200103,1
TWR.Rinkai/SaturdayHoliday,20200104,1
TWR.Rinkai/Weekday,20200106,1
TWR.Rinkai/Weekday,20200107,1
TWR.Rinkai/Weekday,20200108,1
TWR.Rinkai/Weekday,20200109,1
TWR.Rinkai/Weekday,20200110,1
TWR.Rinkai/SaturdayHoliday,20200111,1
TWR.Rinkai/Weekday,20200113,1
TWR.Rinkai/Weekday,20200114,1
TWR.Rinkai/Weekday,20200115,1
TWR.Rinkai/Weekday,20200116,1
TWR.Rinkai/Weekday,20200117,1
TWR.Rinkai/SaturdayHoliday,20200118,1
TWR.Rinkai/Weekday,20200120,1
TWR.Rinkai/Weekday,20200121,1
TWR.Rinkai/Weekday,20200122,1
TWR.Rinkai/Weekday,20200123,1
TWR.Rinkai/Weekday,20200124,1
TWR.Rinkai/SaturdayHoliday,20200125,1
TWR.Rinkai/Weekday,20200127,1
TWR.Rinkai/Weekday,20200128,1
TWR.Rinkai/Weekday,20200129,1
TWR.Rinkai/Weekday,20200130,1
TWR.Rinkai/Weekday,20200131,1
Keio.Keio/Weekday,20190805,1
Keio.Keio/Weekday,20190806,1
Keio.Keio/Weekday,20190807,1
Keio.Keio/Weekday,20190808,1
