route_long_name,trip_headsign,arrival_time
山手線,内回り,09:32:00
三田線,日吉,09:32:00
山手線,外回り,09:35:00
山手線,内回り,09:36:00
三田線,日吉,09:37:00
三田線,西高島平,09:37:00
山手線,内回り,09:39:00
山手線,外回り,09:39:00
南北線,赤羽岩淵,09:40:00
山手線,内回り,09:42:00
山手線,外回り,09:42:00
南北線,日吉,09:43:00
山手線,内回り,09:46:00
山手線,外回り,09:46:00
南北線,浦和美園,09:46:00
南北線,日吉,09:47:00
山手線,内回り,09:49:00
山手線,外回り,09:50:00
山手線,内回り,09:52:00
南北線,赤羽岩淵,09:52:00
山手線,外回り,09:53:00
南北線,日吉,09:53:00
山手線,内回り,09:55:00
三田線,西高島平,09:55:00
山手線,外回り,09:57:00
三田線,日吉,09:57:00
山手線,内回り,09:59:00
山手線,外回り,10:01:00
三田線,日吉,10:01:00
三田線,西高島平,10:01:00
山手線,内回り,10:02:00
山手線,外回り,10:04:00
山手線,内回り,10:05:00
三田線,西高島平,10:07:00
山手線,外回り,10:08:00
山手線,内回り,10:08:00
三田線,日吉,10:08:00
南北線,浦和美園,10:10:00
山手線,外回り,10:11:00
山手線,内回り,10:12:00
南北線,日吉,10:12:00
山手線,外回り,10:15:00
山手線,内回り,10:15:00
南北線,赤羽岩淵,10:16:00
南北線,日吉,10:17:00
山手線,内回り,10:18:00
山手線,外回り,10:19:00
山手線,内回り,10:21:00
山手線,外回り,10:22:00
南北線,浦和美園,10:22:00
南北線,日吉,10:23:00
山手線,内回り,10:25:00
三田線,西高島平,10:25:00
山手線,外回り,10:26:00
山手線,内回り,10:28:00
山手線,外回り,10:29:00
三田線,日吉,10:29:00
山手線,内回り,10:31:00
三田線,西高島平,10:31:00
山手線,外回り,10:33:00
山手線,内回り,10:34:00
三田線,日吉,10:34:00
三田線,西高島平,10:36:00
山手線,外回り,10:37:00
山手線,内回り,10:38:00
南北線,赤羽岩淵,10:39:00
山手線,外回り,10:40:00
三田線,日吉,10:40:00
山手線,内回り,10:41:00
南北線,日吉,10:43:00
山手線,外回り,10:44:00
山手線,内回り,10:44:00
南北線,浦和美園,10:46:00
山手線,外回り,10:47:00
山手線,内回り,10:47:00
南北線,日吉,10:49:00
山手線,外回り,10:51:00
山手線,内回り,10:51:00
南北線,赤羽岩淵,10:51:00
山手線,内回り,10:54:00
山手線,外回り,10:55:00
三田線,西高島平,10:55:00
南北線,日吉,10:55:00
山手線,内回り,10:57:00
山手線,外回り,10:58:00
三田線,日吉,10:58:00
山手線,内回り,11:00:00
三田線,西高島平,11:01:00
山手線,外回り,11:02:00
山手線,内回り,11:04:00
三田線,日吉,11:04:00
山手線,外回り,11:05:00
三田線,西高島平,11:06:00
山手線,内回り,11:07:00
山手線,外回り,11:09:00
南北線,浦和美園,11:09:00
山手線,内回り,11:10:00
三田線,日吉,11:10:00
山手線,内回り,11:13:00
山手線,外回り,11:13:00
南北線,日吉,11:14:00
南北線,赤羽岩淵,11:15:00
山手線,外回り,11:16:00
山手線,内回り,11:17:00
南北線,日吉,11:19:00
山手線,内回り,11:20:00
山手線,外回り,11:20:00
南北線,浦和美園,11:21:00
山手線,内回り,11:23:00
山手線,外回り,11:23:00
三田線,西高島平,11:25:00
南北線,日吉,11:25:00
山手線,内回り,11:26:00
山手線,外回り,11:27:00
三田線,日吉,11:29:00
山手線,内回り,11:30:00
山手線,外回り,11:31:00
三田線,西高島平,11:31:00
山手線,内回り,11:33:00
山手線,外回り,11:34:00
三田線,日吉,11:34:00
山手線,内回り,11:36:00
三田線,西高島平,11:36:00
山手線,外回り,11:38:00
山手線,内回り,11:39:00
南北線,赤羽岩淵,11:39:00
三田線,日吉,11:40:00
山手線,外回り,11:41:00
山手線,内回り,11:43:00
南北線,日吉,11:44:00
山手線,外回り,11:45:00
南北線,浦和美園,11:45:00
山手線,内回り,11:46:00
山手線,外回り,11:48:00
山手線,内回り,11:49:00
南北線,日吉,11:49:00
南北線,赤羽岩淵,11:51:00
山手線,内回り,11:52:00
山手線,外回り,11:52:00
三田線,西高島平,11:55:00
南北線,日吉,11:55:00
山手線,内回り,11:56:00
山手線,外回り,11:56:00
山手線,内回り,11:59:00
山手線,外回り,11:59:00
三田線,日吉,11:59:00
三田線,西高島平,12:01:00
山手線,内回り,12:02:00
山手線,外回り,12:03:00
三田線,日吉,12:04:00
山手線,内回り,12:05:00
三田線,西高島平,12:06:00
山手線,外回り,12:07:00
山手線,内回り,12:09:00
南北線,浦和美園,12:09:00
山手線,外回り,12:10:00
三田線,日吉,12:10:00
山手線,内回り,12:12:00
山手線,外回り,12:14:00
南北線,日吉,12:14:00
山手線,内回り,12:15:00
南北線,赤羽岩淵,12:15:00
山手線,内回り,12:18:00
山手線,外回り,12:18:00
南北線,日吉,12:19:00
山手線,外回り,12:21:00
南北線,浦和美園,12:21:00
山手線,内回り,12:22:00
山手線,内回り,12:25:00
山手線,外回り,12:25:00
三田線,西高島平,12:25:00
南北線,日吉,12:25:00
山手線,内回り,12:28:00
山手線,外回り,12:28:00
三田線,日吉,12:29:00
山手線,内回り,12:31:00
三田線,西高島平,12:31:00
山手線,外回り,12:32:00
三田線,日吉,12:34:00
山手線,内回り,12:35:00
山手線,外回り,12:35:00
三田線,西高島平,12:36:00
山手線,内回り,12:38:00
山手線,外回り,12:39:00
南北線,赤羽岩淵,12:39:00
三田線,日吉,12:40:00
山手線,内回り,12:41:00
山手線,外回り,12:43:00
山手線,内回り,12:44:00
南北線,日吉,12:44:00
南北線,浦和美園,12:45:00
山手線,外回り,12:46:00
山手線,内回り,12:48:00
南北線,日吉,12:49:00
山手線,外回り,12:50:00
山手線,内回り,12:51:00
南北線,赤羽岩淵,12:51:00
山手線,外回り,12:53:00
山手線,内回り,12:54:00
三田線,西高島平,12:55:00
南北線,日吉,12:55:00
山手線,内回り,12:57:00
山手線,外回り,12:57:00
三田線,日吉,12:59:00
山手線,外回り,13:01:00
山手線,内回り,13:01:00
三田線,西高島平,13:01:00
山手線,内回り,13:04:00
山手線,外回り,13:04:00
三田線,日吉,13:04:00
三田線,西高島平,13:06:00
山手線,内回り,13:07:00
山手線,外回り,13:08:00
南北線,浦和美園,13:09:00
山手線,内回り,13:10:00
三田線,日吉,13:10:00
山手線,外回り,13:12:00
山手線,内回り,13:14:00
南北線,日吉,13:14:00
山手線,外回り,13:15:00
南北線,赤羽岩淵,13:15:00
山手線,内回り,13:17:00
山手線,外回り,13:19:00
南北線,日吉,13:19:00
山手線,内回り,13:20:00
南北線,浦和美園,13:21:00
山手線,外回り,13:22:00
山手線,内回り,13:23:00
三田線,西高島平,13:25:00
南北線,日吉,13:25:00
山手線,外回り,13:26:00
山手線,内回り,13:27:00
三田線,日吉,13:29:00
山手線,内回り,13:30:00
山手線,外回り,13:30:00
三田線,西高島平,13:31:00
山手線,内回り,13:33:00
山手線,外回り,13:33:00
三田線,日吉,13:34:00
山手線,内回り,13:36:00
三田線,西高島平,13:36:00
山手線,外回り,13:37:00
南北線,赤羽岩淵,13:39:00
山手線,内回り,13:40:00
山手線,外回り,13:40:00
三田線,日吉,13:40:00
山手線,内回り,13:43:00
山手線,外回り,13:44:00
南北線,日吉,13:44:00
南北線,浦和美園,13:45:00
山手線,内回り,13:46:00
山手線,外回り,13:47:00
山手線,内回り,13:49:00
南北線,日吉,13:49:00
山手線,外回り,13:51:00
南北線,赤羽岩淵,13:51:00
山手線,内回り,13:53:00
山手線,外回り,13:55:00
三田線,西高島平,13:55:00
南北線,日吉,13:55:00
山手線,内回り,13:56:00
山手線,外回り,13:58:00
山手線,内回り,13:59:00
三田線,日吉,13:59:00
三田線,西高島平,14:01:00
山手線,内回り,14:02:00
山手線,外回り,14:02:00
三田線,日吉,14:04:00
山手線,外回り,14:05:00
山手線,内回り,14:06:00
三田線,西高島平,14:06:00
山手線,内回り,14:09:00
山手線,外回り,14:09:00
南北線,浦和美園,14:09:00
三田線,日吉,14:10:00
山手線,内回り,14:12:00
山手線,外回り,14:13:00
南北線,日吉,14:14:00
山手線,内回り,14:15:00
南北線,赤羽岩淵,14:15:00
山手線,外回り,14:16:00
山手線,内回り,14:19:00
南北線,日吉,14:19:00
山手線,外回り,14:20:00
南北線,浦和美園,14:21:00
山手線,内回り,14:22:00
山手線,外回り,14:24:00
山手線,内回り,14:25:00
三田線,西高島平,14:25:00
南北線,日吉,14:25:00
山手線,外回り,14:27:00
山手線,内回り,14:28:00
三田線,日吉,14:29:00
山手線,外回り,14:31:00
三田線,西高島平,14:31:00
山手線,内回り,14:32:00
山手線,外回り,14:34:00
三田線,日吉,14:34:00
山手線,内回り,14:35:00
三田線,西高島平,14:36:00
山手線,内回り,14:38:00
山手線,外回り,14:38:00
南北線,赤羽岩淵,14:39:00
三田線,日吉,14:40:00
山手線,内回り,14:41:00
山手線,外回り,14:42:00
南北線,日吉,14:44:00
山手線,内回り,14:45:00
山手線,外回り,14:45:00
南北線,浦和美園,14:45:00
山手線,内回り,14:48:00
山手線,外回り,14:49:00
南北線,日吉,14:49:00
山手線,内回り,14:51:00
南北線,赤羽岩淵,14:51:00
山手線,外回り,14:52:00
山手線,内回り,14:54:00
三田線,西高島平,14:55:00
南北線,日吉,14:55:00
山手線,外回り,14:56:00
山手線,内回り,14:58:00
山手線,外回り,14:59:00
三田線,日吉,14:59:00
山手線,内回り,15:01:00
三田線,西高島平,15:01:00
山手線,外回り,15:03:00
山手線,内回り,15:04:00
三田線,日吉,15:04:00
三田線,西高島平,15:06:00
山手線,内回り,15:07:00
山手線,外回り,15:07:00
南北線,浦和美園,15:09:00
山手線,外回り,15:10:00
三田線,日吉,15:10:00
山手線,内回り,15:11:00
山手線,内回り,15:14:00
山手線,外回り,15:14:00
南北線,日吉,15:14:00
南北線,赤羽岩淵,15:15:00
山手線,内回り,15:17:00
山手線,外回り,15:18:00
南北線,日吉,15:19:00
山手線,内回り,15:20:00
山手線,外回り,15:21:00
南北線,浦和美園,15:21:00
山手線,内回り,15:24:00
山手線,外回り,15:25:00
三田線,西高島平,15:25:00
南北線,日吉,15:25:00
山手線,内回り,15:27:00
山手線,外回り,15:28:00
三田線,日吉,15:29:00
山手線,内回り,15:30:00
三田線,西高島平,15:31:00
山手線,外回り,15:32:00
山手線,内回り,15:33:00
三田線,日吉,15:34:00
山手線,外回り,15:36:00
三田線,西高島平,15:36:00
山手線,内回り,15:37:00
山手線,外回り,15:39:00
南北線,赤羽岩淵,15:39:00
山手線,内回り,15:40:00
三田線,日吉,15:40:00
山手線,内回り,15:43:00
山手線,外回り,15:43:00
南北線,日吉,15:44:00
南北線,浦和美園,15:45:00
山手線,内回り,15:46:00
山手線,外回り,15:47:00
南北線,日吉,15:49:00
山手線,内回り,15:50:00
山手線,外回り,15:50:00
南北線,赤羽岩淵,15:51:00
山手線,内回り,15:53:00
山手線,外回り,15:54:00
三田線,西高島平,15:55:00
南北線,日吉,15:55:00
山手線,内回り,15:56:00
山手線,外回り,15:57:00
山手線,内回り,15:59:00
三田線,日吉,15:59:00
山手線,外回り,16:01:00
三田線,西高島平,16:01:00
山手線,内回り,16:03:00
山手線,外回り,16:04:00
三田線,日吉,16:04:00
山手線,内回り,16:06:00
三田線,西高島平,16:06:00
山手線,外回り,16:08:00
山手線,内回り,16:09:00
南北線,浦和美園,16:09:00
三田線,日吉,16:10:00
山手線,外回り,16:11:00
山手線,内回り,16:12:00
南北線,日吉,16:14:00
山手線,外回り,16:15:00
南北線,赤羽岩淵,16:15:00
山手線,内回り,16:16:00
山手線,外回り,16:18:00
山手線,内回り,16:19:00
南北線,日吉,16:19:00
山手線,外回り,16:21:00
南北線,浦和美園,16:21:00
山手線,内回り,16:22:00
山手線,外回り,16:24:00
山手線,内回り,16:25:00
三田線,西高島平,16:25:00
南北線,日吉,16:25:00
山手線,外回り,16:27:00
山手線,内回り,16:29:00
三田線,日吉,16:29:00
山手線,外回り,16:30:00
三田線,西高島平,16:31:00
山手線,内回り,16:32:00
山手線,外回り,16:33:00
三田線,日吉,16:34:00
山手線,内回り,16:35:00
山手線,外回り,16:36:00
三田線,西高島平,16:36:00
山手線,内回り,16:38:00
山手線,外回り,16:39:00
南北線,赤羽岩淵,16:39:00
三田線,日吉,16:40:00
山手線,内回り,16:42:00
山手線,外回り,16:42:00
南北線,日吉,16:44:00
山手線,内回り,16:45:00
山手線,外回り,16:45:00
南北線,浦和美園,16:45:00
山手線,内回り,16:48:00
山手線,外回り,16:49:00
南北線,日吉,16:49:00
山手線,内回り,16:51:00
南北線,赤羽岩淵,16:51:00
山手線,外回り,16:52:00
山手線,内回り,16:55:00
山手線,外回り,16:55:00
三田線,西高島平,16:55:00
南北線,日吉,16:55:00
山手線,内回り,16:58:00
山手線,外回り,16:59:00
三田線,日吉,16:59:00
山手線,内回り,17:01:00
三田線,西高島平,17:01:00
山手線,外回り,17:02:00
山手線,内回り,17:04:00
三田線,日吉,17:04:00
山手線,外回り,17:06:00
三田線,西高島平,17:07:00
山手線,内回り,17:08:00
山手線,外回り,17:09:00
南北線,浦和美園,17:09:00
三田線,日吉,17:10:00
山手線,内回り,17:11:00
山手線,外回り,17:13:00
山手線,内回り,17:14:00
南北線,日吉,17:14:00
南北線,赤羽岩淵,17:15:00
山手線,外回り,17:16:00
山手線,内回り,17:17:00
南北線,日吉,17:19:00
山手線,外回り,17:20:00
山手線,内回り,17:21:00
南北線,浦和美園,17:21:00
山手線,外回り,17:23:00
山手線,内回り,17:24:00
三田線,西高島平,17:25:00
南北線,日吉,17:25:00
山手線,内回り,17:27:00
山手線,外回り,17:27:00
三田線,日吉,17:29:00
山手線,内回り,17:30:00
山手線,外回り,17:30:00
三田線,西高島平,17:31:00
山手線,外回り,17:33:00
山手線,内回り,17:34:00
三田線,日吉,17:34:00
山手線,外回り,17:36:00
山手線,内回り,17:37:00
三田線,西高島平,17:37:00
山手線,外回り,17:39:00
南北線,浦和美園,17:39:00
山手線,内回り,17:40:00
三田線,日吉,17:40:00
山手線,外回り,17:42:00
山手線,内回り,17:43:00
南北線,日吉,17:44:00
山手線,外回り,17:45:00
南北線,赤羽岩淵,17:45:00
山手線,内回り,17:47:00
山手線,外回り,17:48:00
山手線,内回り,17:50:00
南北線,日吉,17:50:00
山手線,外回り,17:51:00
南北線,浦和美園,17:52:00
山手線,内回り,17:53:00
山手線,外回り,17:54:00
三田線,西高島平,17:55:00
南北線,日吉,17:55:00
山手線,内回り,17:56:00
山手線,外回り,17:57:00
三田線,日吉,17:58:00
山手線,内回り,18:00:00
山手線,外回り,18:00:00
三田線,西高島平,18:00:00
山手線,内回り,18:03:00
山手線,外回り,18:04:00
三田線,日吉,18:04:00
山手線,内回り,18:07:00
山手線,外回り,18:07:00
三田線,西高島平,18:07:00
山手線,内回り,18:09:00
三田線,日吉,18:10:00
南北線,浦和美園,18:10:00
山手線,外回り,18:11:00
山手線,内回り,18:13:00
南北線,日吉,18:13:00
山手線,外回り,18:14:00
山手線,内回り,18:16:00
南北線,浦和美園,18:16:00
山手線,外回り,18:18:00
山手線,内回り,18:19:00
南北線,日吉,18:19:00
山手線,外回り,18:21:00
山手線,内回り,18:22:00
南北線,赤羽岩淵,18:22:00
山手線,外回り,18:25:00
三田線,西高島平,18:25:00
南北線,武蔵小杉,18:25:00
山手線,内回り,18:26:00
三田線,日吉,18:27:00
山手線,外回り,18:28:00
山手線,内回り,18:29:00
山手線,外回り・大崎,18:31:00
三田線,西高島平,18:31:00
山手線,内回り,18:32:00
三田線,日吉,18:33:00
山手線,内回り,18:35:00
山手線,外回り,18:35:00
三田線,西高島平,18:37:00
山手線,外回り,18:38:00
山手線,内回り,18:39:00
三田線,日吉,18:39:00
南北線,赤羽岩淵,18:39:00
山手線,外回り,18:41:00
山手線,内回り,18:42:00
南北線,日吉,18:43:00
山手線,外回り,18:44:00
南北線,浦和美園,18:45:00
山手線,内回り,18:46:00
山手線,外回り,18:47:00
南北線,日吉,18:49:00
山手線,内回り,18:50:00
山手線,外回り・大崎,18:50:00
南北線,浦和美園,18:52:00
山手線,外回り,18:53:00
山手線,内回り,18:55:00
三田線,西高島平,18:55:00
南北線,日吉,18:55:00
山手線,外回り,18:56:00
三田線,日吉,18:57:00
山手線,内回り,18:59:00
山手線,外回り,18:59:00
三田線,高島平,19:01:00
山手線,内回り,19:02:00
山手線,外回り・大崎,19:03:00
三田線,武蔵小杉,19:03:00
山手線,内回り,19:05:00
山手線,外回り,19:07:00
三田線,西高島平,19:07:00
山手線,内回り,19:09:00
三田線,日吉,19:09:00
山手線,外回り,19:10:00
南北線,浦和美園,19:10:00
山手線,内回り,19:13:00
山手線,外回り,19:13:00
南北線,日吉,19:13:00
山手線,外回り,19:17:00
山手線,内回り,19:18:00
三田線,高島平,19:18:00
南北線,日吉,19:19:00
山手線,外回り・大崎,19:20:00
山手線,内回り,19:22:00
南北線,浦和美園,19:23:00
山手線,外回り,19:24:00
南北線,日吉,19:25:00
山手線,内回り,19:28:00
山手線,外回り,19:28:00
三田線,日吉,19:28:00
南北線,浦和美園,19:28:00
山手線,外回り,19:31:00
三田線,西高島平,19:32:00
南北線,日吉,19:32:00
山手線,内回り,19:33:00
山手線,外回り,19:35:00
三田線,西高島平,19:37:00
山手線,内回り,19:38:00
山手線,外回り,19:39:00
三田線,日吉,19:39:00
山手線,内回り,19:42:00
南北線,赤羽岩淵,19:43:00
山手線,外回り,19:44:00
三田線,日吉,19:45:00
山手線,内回り,19:47:00
山手線,外回り・池袋,19:47:00
三田線,西高島平,19:48:00
南北線,日吉,19:50:00
山手線,外回り,19:51:00
山手線,内回り,19:52:00
三田線,日吉,19:54:00
山手線,外回り,19:55:00
南北線,浦和美園,19:55:00
山手線,内回り,19:56:00
南北線,日吉,19:58:00
山手線,外回り,20:00:00
山手線,内回り,20:01:00
三田線,西高島平,20:02:00
山手線,外回り,20:04:00
三田線,日吉,20:05:00
南北線,赤羽岩淵,20:05:00
山手線,内回り,20:06:00
山手線,外回り,20:07:00
山手線,内回り,20:11:00
南北線,浦和美園,20:11:00
山手線,外回り,20:12:00
南北線,日吉,20:12:00
山手線,内回り,20:16:00
山手線,外回り・大崎,20:16:00
三田線,日吉,20:17:00
山手線,内回り,20:19:00
山手線,外回り,20:19:00
三田線,西高島平,20:20:00
南北線,日吉,20:20:00
山手線,外回り,20:23:00
山手線,内回り,20:24:00
三田線,日吉,20:25:00
南北線,赤羽岩淵,20:25:00
山手線,内回り,20:29:00
山手線,外回り,20:29:00
南北線,日吉,20:29:00
三田線,西高島平,20:30:00
山手線,外回り,20:33:00
山手線,内回り,20:34:00
南北線,浦和美園,20:34:00
三田線,日吉,20:35:00
山手線,外回り,20:38:00
山手線,内回り,20:40:00
南北線,日吉,20:41:00
山手線,外回り,20:42:00
三田線,西高島平,20:42:00
三田線,日吉,20:44:00
山手線,内回り,20:45:00
山手線,外回り,20:46:00
南北線,浦和美園,20:47:00
山手線,内回り,20:49:00
三田線,日吉,20:50:00
山手線,外回り,20:51:00
三田線,西高島平,20:51:00
山手線,内回り,20:52:00
南北線,日吉,20:54:00
山手線,外回り,20:56:00
南北線,浦和美園,20:56:00
山手線,内回り,20:57:00
三田線,日吉,20:59:00
三田線,西高島平,21:00:00
山手線,外回り,21:01:00
山手線,内回り,21:03:00
山手線,外回り,21:06:00
三田線,西高島平,21:06:00
三田線,日吉,21:07:00
山手線,内回り,21:08:00
山手線,外回り,21:11:00
南北線,赤羽岩淵,21:11:00
山手線,内回り,21:13:00
南北線,日吉,21:14:00
山手線,外回り,21:16:00
南北線,浦和美園,21:16:00
山手線,内回り,21:18:00
南北線,日吉,21:19:00
山手線,外回り,21:20:00
三田線,西高島平,21:22:00
三田線,日吉,21:23:00
山手線,内回り,21:24:00
山手線,外回り,21:25:00
南北線,浦和美園,21:25:00
三田線,日吉,21:29:00
山手線,内回り,21:30:00
山手線,外回り,21:31:00
三田線,西高島平,21:31:00
山手線,外回り,21:35:00
山手線,内回り,21:37:00
南北線,日吉,21:37:00
三田線,西高島平,21:38:00
山手線,外回り,21:40:00
南北線,浦和美園,21:42:00
山手線,内回り,21:43:00
山手線,外回り,21:44:00
三田線,日吉,21:44:00
山手線,内回り,21:49:00
山手線,外回り,21:49:00
南北線,浦和美園,21:50:00
南北線,日吉,21:52:00
山手線,外回り,21:53:00
三田線,西高島平,21:53:00
三田線,日吉,21:54:00
山手線,内回り,21:55:00
山手線,外回り,21:58:00
山手線,内回り,21:59:00
三田線,西高島平,22:00:00
三田線,日吉,22:02:00
山手線,外回り,22:03:00
山手線,内回り,22:04:00
南北線,浦和美園,22:04:00
三田線,日吉,22:07:00
三田線,西高島平,22:07:00
山手線,内回り,22:09:00
山手線,外回り,22:09:00
南北線,日吉,22:12:00
山手線,外回り,22:14:00
三田線,西高島平,22:14:00
山手線,内回り,22:15:00
南北線,日吉,22:17:00
山手線,外回り,22:19:00
南北線,赤羽岩淵,22:19:00
