stop_id,stop_name,stop_code,stop_lat,stop_lon,zone_id
KokusaiKogyoBus.AraiKusushiGuchi.49.2,新井薬師口,2,35.7148139004315,139.670242795414,KokusaiKogyoBus.AraiKusushiGuchi.49.2
KokusaiKogyoBus.AkabaSato.506.5,赤羽郷,5,35.7759918825362,139.709583772843,KokusaiKogyoBus.AkabaSato.506.5
KokusaiKogyoBus.Daitakubo.1536.3,太田窪,3,35.8634050489836,139.671234962029,KokusaiKogyoBus.Daitakubo.1536.3
KokusaiKogyoBus.Nakanohashi.904.2,中の橋,2,35.8035826245813,139.729375896466,KokusaiKogyoBus.Nakanohashi.904.2
KokusaiKogyoBus.AokiSanChoume.997.2,青木三丁目,2,35.8106564346157,139.727660260399,KokusaiKogyoBus.AokiSanChoume.997.2
KokusaiKogyoBus.JoukonKyou.1333.1,上根橋,1,35.8391469617804,139.720701144503,KokusaiKogyoBus.JoukonKyou.1333.1
KokusaiKogyoBus.TsukakoshiMachi.945.2,塚越町,2,35.8221888791963,139.707422795936,KokusaiKogyoBus.TsukakoshiMachi.945.2
KokusaiKogyoBus.Hirogayato.1541.1,広ヶ谷戸,1,35.8615339218208,139.68634334563,KokusaiKogyoBus.Hirogayato.1541.1
KokusaiKogyoBus.MineHachimanguu.919.2,峯八幡宮,2,35.835746927896,139.768042097443,KokusaiKogyoBus.MineHachimanguu.919.2
KokusaiKogyoBus.MejiroGoChoume.40.2,目白五丁目,2,35.7229809031136,139.692749236668,KokusaiKogyoBus.MejiroGoChoume.40.2
KokusaiKogyoBus.KitaaraiYado.1309.1,北新井宿,1,35.850213858071,139.736837561875,KokusaiKogyoBus.KitaaraiYado.1309.1
KokusaiKogyoBus.KomoneChuuou.265.2,小茂根中央,2,35.751433312065,139.680253488599,KokusaiKogyoBus.KomoneChuuou.265.2
KokusaiKogyoBus.Shimmachi.1312.2,新町,2,35.8596984448837,139.736035377975,KokusaiKogyoBus.Shimmachi.1312.2
KokusaiKogyoBus.ToshimaKuyakusho.70.1,豊島区役所,1,35.7261453079214,139.718757102035,KokusaiKogyoBus.ToshimaKuyakusho.70.1
